Control_Family,Control_ID,Control_Name,Control_Statement,Discussion,Related_Controls,Privacy_Baseline,Security_Baseline_Low,Security_Baseline_Moderate,Security_Baseline_High,Reference,Is_Enhancement,Base_Control_ID
CM,CM-08(08),AUTOMATED LOCATION TRACKING,"Support the tracking of system components by geographic location using [Assignment: organization-defined automated mechanisms].
","The use of automated mechanisms to track the location of system components can increase the accuracy of component inventories. Such capability may help organizations rapidly identify the location and responsible individuals of system components that have been compromised, breached, or are otherwise in need of mitigation actions. The use of tracking mechanisms can be coordinated with senior agency officials for privacy if there are implications that affect individual privacy. ",,,,,,,True,CM-08
CM,CM-08(09),ASSIGNMENT OF COMPONENTS TO SYSTEMS,"a.  Assign system components to a system; and
b.  Receive an acknowledgement from [Assignment: organization-defined personnel or roles] of this assignment.
","System components that are not assigned to a system may be unmanaged, lack the required protection, and become an organizational vulnerability.",,,,,,,True,CM-08
CM,CM-09,CONFIGURATION MANAGEMENT PLAN,"Develop, document, and implement a configuration management plan for the system that:
a.  Addresses roles, responsibilities, and configuration management processes and procedures;
b.  Establishes a process for identifying configuration items throughout the system development life cycle and for managing the configuration of the configuration items;
c.  Defines the configuration items for the system and places the configuration items under configuration management;
d.  Is reviewed and approved by [Assignment: organization-defined personnel or roles]; and
e.  Protects the configuration management plan from unauthorized disclosure and modification.
","Configuration management activities occur throughout the system development life cycle. As such, there are developmental configuration management activities (e.g., the control of code and software libraries) and operational configuration management activities (e.g., control of installed components and how the components are configured). Configuration management plans satisfy the requirements in configuration management policies while being tailored to individual systems. Configuration management plans define processes and procedures for how configuration management is used to support system development life cycle activities.Configuration management plans are generated during the development and acquisition stage of the system development life cycle. The plans describe how to advance changes through change management processes; update configuration settings and baselines; maintain component inventories; control development, test, and operational environments; and develop, release, and update key documents.Organizations can employ templates to help ensure the consistent and timely development and implementation of configuration management plans. Templates can represent a configuration management plan for the organization with subsets of the plan implemented on a system by system basis. Configuration management approval processes include the designation of key stakeholders responsible for reviewing and approving proposed changes to systems, and personnel who conduct security and privacy impact analyses prior to the implementation of changes to the systems. Configuration items are the system components, such as the hardware, software, firmware, and documentation to be configuration-managed. As systems continue through the system development life cycle, new configuration items may be identified, and some existing configuration items may no longer need to be under configuration control.","CM-02, CM-03, CM-04, CM-05, CM-08, PL-02, RA-08, SA-10, SI-12",,,x,x,"SP 800-128: Johnson LA, Dempsey KL, Ross RS, Gupta S, Bailey D (2011) Guide for Security-Focused Configuration Management of Information Systems. (National Institute of Standards and Technology, Gaithersburg, MD), NIST Special Publication (SP) 800-128, Includes updates as of October 10, 2019.",False,CM-09
CM,CM-09(01),ASSIGNMENT OF RESPONSIBILITY,"Assign responsibility for developing the configuration management process to organizational personnel that are not directly involved in system development.
","In the absence of dedicated configuration management teams assigned within organizations, system developers may be tasked with developing configuration management processes using personnel who are not directly involved in system development or system integration. This separation of duties ensures that organizations establish and maintain a sufficient degree of independence between the system development and integration processes and configuration management processes to facilitate quality control and more effective oversight.",,,,,,,True,CM-09
CM,CM-10,SOFTWARE USAGE RESTRICTIONS,"a.  Use software and associated documentation in accordance with contract agreements and copyright laws;
b.  Track the use of software and associated documentation protected by quantity licenses to control copying and distribution; and
c.  Control and document the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work.
","Software license tracking can be accomplished by manual or automated methods, depending on organizational needs. Examples of contract agreements include software license agreements and non-disclosure agreements.","AC-17, AU-06, CM-07, CM-08, PM-30, SC-07",,x,x,x,,False,CM-10
CM,CM-10(01),OPEN-SOURCE SOFTWARE,"Establish the following restrictions on the use of open-source software: [Assignment: organization-defined restrictions].
","Open-source software refers to software that is available in source code form. Certain software rights normally reserved for copyright holders are routinely provided under software license agreements that permit individuals to study, change, and improve the software. From a security perspective, the major advantage of open-source software is that it provides organizations with the ability to examine the source code. In some cases, there is an online community associated with the software that inspects, tests,  updates, and reports on issues found in software on an ongoing basis. However, remediating vulnerabilities in open-source software may be problematic. There may also be licensing issues associated with open-source software, including the constraints on derivative use of such software. Open-source software that is available only in binary form may increase the level of risk in using such software.",SI-07,,,,,,True,CM-10
CM,CM-11,USER-INSTALLED SOFTWARE,"a.  Establish [Assignment: organization-defined policies] governing the installation of software by users;
b.  Enforce software installation policies through the following methods: [Assignment: organization-defined methods]; and
c.  Monitor policy compliance [Assignment: organization-defined frequency].
","If provided the necessary privileges, users can install software in organizational systems. To maintain control over the software installed, organizations identify permitted and prohibited actions regarding software installation. Permitted software installations include updates and security patches to existing software and downloading new applications from organization-approved app stores. Prohibited software installations include software with unknown or suspect pedigrees or software that organizations consider potentially malicious. Policies selected for governing user-installed software are organization-developed or provided by some external entity. Policy enforcement methods can include procedural methods and automated methods.","AC-03, AU-06, CM-02, CM-03, CM-05, CM-06, CM-07, CM-08, PL-04, SI-04, SI-07",,x,x,x,,False,CM-11
CM,CM-11(01),ALERTS FOR UNAUTHORIZED INSTALLATIONS,[Incorporated into CM-8(3)],,,,,,,,True,CM-11
CM,CM-11(02),SOFTWARE INSTALLATION WITH PRIVILEGED STATUS,"Allow user installation of software only with explicit privileged status.
","Privileged status can be obtained, for example, by serving in the role of system administrator.","AC-05, AC-06",,,,,,True,CM-11
CM,CM-11(03),AUTOMATED ENFORCEMENT AND MONITORING,"Enforce and monitor compliance with software installation policies using [Assignment: organization-defined automated mechanisms].
",Organizations enforce and monitor compliance with software installation policies using automated mechanisms to more quickly detect and respond to unauthorized software installation which can be an indicator of an internal or external hostile attack.,,,,,,,True,CM-11
CM,CM-12,INFORMATION LOCATION,"a.  Identify and document the location of [Assignment: organization-defined information] and the specific system components on which the information is processed and stored;
b.  Identify and document the users who have access to the system and system components where the information is processed and stored; and
c.  Document changes to the location (i.e., system or system components) where the information is processed and stored.
","Information location addresses the need to understand where information is being processed and stored. Information location includes identifying where specific information types and information reside in system components and how information is being processed so that information flow can be understood and adequate protection and policy management provided for such information and system components. The security category of the information is also a factor in determining the controls necessary to protect the information and the system component where the information resides (see FIPS 199). The location of the information and system components is also a factor in the architecture and design of the system (see SA-4, SA-8, SA-17).","AC-02, AC-03, AC-04, AC-06, AC-23, CM-08, PM-05, RA-02, SA-04, SA-08, SA-17, SC-04, SC-16, SC-28, SI-04, SI-07",,,x,x,"FIPS 199: National Institute of Standards and Technology (2004) Standards for Security Categorization of Federal Information and Information Systems. (U.S. Department of Commerce, Washington, D.C.), Federal Information Processing Standards Publication (FIPS) 199.",False,CM-12
CM,CM-12(01),AUTOMATED TOOLS TO SUPPORT INFORMATION LOCATION,"Use automated tools to identify [Assignment: organization-defined information by information type] on [Assignment: organization-defined system components] to ensure controls are in place to protect organizational information and individual privacy.
",The use of automated tools helps to increase the effectiveness and efficiency of the information location capability implemented within the system. Automation also helps organizations manage the data produced during information location activities and share such information across the organization. The output of automated information location tools can be used to guide and inform system architecture and design decisions.,,,,x,x,,True,CM-12
CM,CM-13,DATA ACTION MAPPING,"Develop and document a map of system data actions.
","Data actions are system operations that process personally identifiable information. The processing of such information encompasses the full information life cycle, which includes collection, generation, transformation, use, disclosure, retention, and disposal. A map of system data actions includes discrete data actions, elements of personally identifiable information being processed in the data actions, system components involved in the data actions, and the owners or operators of the system components. Understanding what personally identifiable information is being processed (e.g., the sensitivity of the personally identifiable information), how personally identifiable information is being processed (e.g., if the data action is visible to the individual or is processed in another part of the system), and by whom (e.g., individuals may have different privacy perceptions based on the entity that is processing the personally identifiable information) provides a number of contextual factors that are important to assessing the degree of privacy risk created by the system. Data maps can be illustrated in different ways, and the level of detail may vary based on the mission and business needs of the organization. The data map may be an overlay of any system design artifact that the organization is using. The development of this map may necessitate coordination between the privacy and security programs regarding the covered data actions and the components that are identified as part of the system.","AC-03, CM-04, CM-12, PM-05, PM-27, PT-02, PT-03, RA-03, RA-08",,,,,,False,CM-13
CM,CM-14,SIGNED COMPONENTS,"Prevent the installation of [Assignment: organization-defined software and firmware components] without verification that the component has been digitally signed using a certificate that is recognized and approved by the organization.
","Software and firmware components prevented from installation unless signed with recognized and approved certificates include software and firmware version updates, patches, service packs, device drivers, and basic input/output system updates. Organizations can identify applicable software and firmware components by type, by specific items, or a combination of both. Digital signatures and organizational verification of such signatures is a method of code authentication.","CM-07, SC-12, SC-13, SI-07",,,,,"IR 8062: Brooks S, Garcia M, Lefkovitz N, Lightman S, Nadeau E (2017) An Introduction to Privacy Engineering and Risk Management in Federal Systems. (National Institute of Standards and Technology, Gaithersburg, MD), NIST Interagency or Internal Report (IR) 8062.",False,CM-14
CP,CP-01,POLICY AND PROCEDURES,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] contingency planning policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the contingency planning policy and the associated contingency planning controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the contingency planning policy and procedures; and
c.  Review and update the current contingency planning:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
","Contingency planning policy and procedures address the controls in the CP family that are implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of contingency planning policy and procedures. Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission- or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies that reflect the complex nature of organizations. Procedures can be established for security and privacy programs, for mission or business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. Events that may precipitate an update to contingency planning policy and procedures include assessment or audit findings, security incidents or breaches, or changes in laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure.","PM-09, PS-08, SI-02, SI-12",,x,x,x,"SP 800-100: Bowen P, Hash J, Wilson M (2006) Information Security Handbook: A Guide for Managers. (National Institute of Standards and Technology, Gaithersburg, MD), NIST Special Publication (SP) 800-100, Includes updates as of March 7, 2007.",False,CP-01
CP,CP-02,CONTINGENCY PLAN,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
","Contingency planning for systems is part of an overall program for achieving continuity of operations for organizational mission and business functions. Contingency planning addresses system restoration and implementation of alternative mission or business processes when systems are compromised or breached. Contingency planning is considered throughout the system development life cycle and is a fundamental part of the system design. Systems can be designed for redundancy, to provide backup capabilities, and for resilience. Contingency plans reflect the degree of restoration required for organizational systems since not all systems need to fully recover to achieve the level of continuity of operations desired. System recovery objectives reflect applicable laws, executive orders, directives, regulations, policies, standards, guidelines, organizational risk tolerance, and system impact level.
Actions addressed in contingency plans include orderly system degradation, system shutdown, fallback to a manual mode, alternate information flows, and operating in modes reserved for when systems are under attack. By coordinating contingency planning with incident handling activities, organizations ensure that the necessary planning activities are in place and activated in the event of an incident. Organizations consider whether continuity of operations during an incident conflicts with the capability to automatically disable the system, as specified in IR-04(05). Incident response planning is part of contingency planning for organizations and is addressed in the IR (Incident Response) family.","CP-03, CP-04, CP-06, CP-07, CP-08, CP-09, CP-10, CP-11, CP-13, IR-04, IR-06, IR-08, IR-09, MA-06, MP-02, MP-04, MP-05, PL-02, PM-08, PM-11, SA-15, SA-20, SC-07, SC-23, SI-12",,x,x,x,"IR 8179: Paulsen C, Boyens JM, Bartol N, Winkler K (2018) Criticality Analysis Process Model: Prioritizing Systems and Components. (National Institute of Standards and Technology, Gaithersburg, MD), NIST Interagency or Internal Report (IR) 8179.",False,CP-02
CP,CP-02(01),COORDINATE WITH RELATED PLANS,"Coordinate contingency plan development with organizational elements responsible for related plans.
","Plans that are related to contingency plans include Business Continuity Plans, Disaster Recovery Plans, Critical Infrastructure Plans, Continuity of Operations Plans, Crisis Communications Plans, Insider Threat Implementation Plans, Data Breach Response Plans, Cyber Incident Response Plans, Breach Response Plans, and Occupant Emergency Plans.",,,,x,x,,True,CP-02
CP,CP-02(02),CAPACITY PLANNING,"Conduct capacity planning so that necessary capacity for information processing, telecommunications, and environmental support exists during contingency operations.
","Capacity planning is needed because different threats can result in a reduction of the available processing, telecommunications, and support services intended to support essential mission and business functions. Organizations anticipate degraded operations during contingency operations and factor the degradation into capacity planning. For capacity planning, environmental support refers to any environmental factor for which the organization determines that it needs to provide support in a contingency situation, even if in a degraded state. Such determinations are based on an organizational assessment of risk, system categorization (impact level), and organizational risk tolerance.","PE-11, PE-12, PE-13, PE-14, PE-18, SC-05",,,,x,,True,CP-02
CP,CP-02(03),RESUME MISSION AND BUSINESS FUNCTIONS,"Plan for the resumption of [Selection (one): all; essential] mission and business functions within [Assignment: organization-defined time period] of contingency plan activation.
",Organizations may choose to conduct contingency planning activities to resume mission and business functions as part of business continuity planning or as part of business impact analyses. Organizations prioritize the resumption of mission and business functions. The time period for resuming mission and business functions may be dependent on the severity and extent of the disruptions to the system and its supporting infrastructure.,,,,x,x,,True,CP-02
CP,CP-02(04),RESUME ALL MISSION AND BUSINESS FUNCTIONS,[Incorporated into CP-2(3)],,,,,,,,True,CP-02
CP,CP-02(05),CONTINUE MISSION AND BUSINESS FUNCTIONS,"Plan for the continuance of [Selection (one): all; essential] mission and business functions with minimal or no loss of operational continuity and sustains that continuity until full system restoration at primary processing and/or storage sites.
",Organizations may choose to conduct the contingency planning activities to continue mission and business functions as part of business continuity planning or business impact analyses. Primary processing and/or storage sites defined by organizations as part of contingency planning may change depending on the circumstances associated with the contingency. ,,,,,x,,True,CP-02
CP,CP-02(06),ALTERNATE PROCESSING AND STORAGE SITES,"Plan for the transfer of [Selection (one): all; essential] mission and business functions to alternate processing and/or storage sites with minimal or no loss of operational continuity and sustain that continuity through system restoration to primary processing and/or storage sites.
",Organizations may choose to conduct contingency planning activities for alternate processing and storage sites as part of business continuity planning or business impact analyses. Primary processing and/or storage sites defined by organizations as part of contingency planning may change depending on the circumstances associated with the contingency. ,,,,,,,True,CP-02
CP,CP-02(07),COORDINATE WITH EXTERNAL SERVICE PROVIDERS,"Coordinate the contingency plan with the contingency plans of external service providers to ensure that contingency requirements can be satisfied.
","When the capability of an organization to carry out its mission and business functions is dependent on external service providers, developing a comprehensive and timely contingency plan may become more challenging. When mission and business functions are dependent on external service providers, organizations coordinate contingency planning activities with the external entities to ensure that the individual plans reflect the overall contingency needs of the organization.",SA-09,,,,,,True,CP-02
CP,CP-02(08),IDENTIFY CRITICAL ASSETS,"Identify critical system assets supporting [Selection (one): all; essential] mission and business functions.
","Organizations may choose to identify critical assets as part of criticality analysis, business continuity planning, or business impact analyses. Organizations identify critical system assets so that additional controls can be employed (beyond the controls routinely implemented) to help ensure that organizational mission and business functions can continue to be conducted during contingency operations. The identification of critical information assets also facilitates the prioritization of organizational resources. Critical system assets include technical and operational aspects. Technical aspects include system components, information technology services, information technology products, and mechanisms. Operational aspects include procedures (i.e., manually executed operations) and personnel (i.e., individuals operating technical controls and/or executing manual procedures). Organizational program protection plans can assist in identifying critical assets. If critical assets are resident within or supported by external service providers, organizations consider implementing CP-02(07) as a control enhancement.","CM-08, RA-09",,,x,x,,True,CP-02
CP,CP-03,CONTINGENCY TRAINING,"a.  Provide contingency training to system users consistent with assigned roles and responsibilities:
1.  Within [Assignment: organization-defined time period] of assuming a contingency role or responsibility;
2.  When required by system changes; and
3.  [Assignment: organization-defined frequency] thereafter; and
b.  Review and update contingency training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
","Contingency training provided by organizations is linked to the assigned roles and responsibilities of organizational personnel to ensure that the appropriate content and level of detail is included in such training. For example, some individuals may only need to know when and where to report for duty during contingency operations and if normal duties are affected; system administrators may require additional training on how to establish systems at alternate processing and storage sites; and organizational officials may receive more specific training on how to conduct mission-essential functions in designated off-site locations and how to establish communications with other governmental entities for purposes of coordination on contingency-related activities. Training for contingency roles or responsibilities reflects the specific continuity requirements in the contingency plan. Events that may precipitate an update to contingency training content include, but are not limited to, contingency plan testing or an actual contingency (lessons learned), assessment or audit findings, security incidents or breaches, or changes in laws, executive orders, directives, regulations, policies, standards, and guidelines. At the discretion of the organization, participation in a contingency plan test or exercise, including lessons learned sessions subsequent to the test or exercise, may satisfy contingency plan training requirements.","AT-02, AT-03, AT-04, CP-02, CP-04, CP-08, IR-02, IR-04, IR-09",,x,x,x,"SP 800-50: Wilson M, Hash J (2003) Building an Information Technology Security Awareness and Training Program. (National Institute of Standards and Technology, Gaithersburg, MD), NIST Special Publication (SP) 800-50.",False,CP-03
CP,CP-03(01),SIMULATED EVENTS,"Incorporate simulated events into contingency training to facilitate effective response by personnel in crisis situations.
","The use of simulated events creates an environment for personnel to experience actual threat events, including cyber-attacks that disable websites, ransomware attacks that encrypt organizational data on servers, hurricanes that damage or destroy organizational facilities, or hardware or software failures.",,,,,x,,True,CP-03
CP,CP-03(02),MECHANISMS USED IN TRAINING ENVIRONMENTS,"Employ mechanisms used in operations to provide a more thorough and realistic contingency training environment.
","Operational mechanisms refer to processes that have been established to accomplish an organizational goal or a system that supports a particular organizational mission or business objective. Actual mission and business processes, systems, and/or facilities may be used to generate simulated events and enhance the realism of simulated events during contingency training.",,,,,,,True,CP-03
CP,CP-04,CONTINGENCY PLAN TESTING,"a.  Test the contingency plan for the system [Assignment: organization-defined frequency] using  the following tests to determine the effectiveness of the plan and the readiness to execute the plan: [Assignment: organization-defined tests].
b.  Review the contingency plan test results; and
c.  Initiate corrective actions, if needed.
","Methods for testing contingency plans to determine the effectiveness of the plans and identify potential weaknesses include checklists, walk-through and tabletop exercises, simulations (parallel or full interrupt), and comprehensive exercises. Organizations conduct testing based on the requirements in contingency plans and include a determination of the effects on organizational operations, assets, and individuals due to contingency operations. Organizations have flexibility and discretion in the breadth, depth, and timelines of corrective actions.","AT-03, CP-02, CP-03, CP-08, CP-09, IR-03, IR-04, PL-02, PM-14, SR-02",,x,x,x,"FIPS 199: National Institute of Standards and Technology (2004) Standards for Security Categorization of Federal Information and Information Systems. (U.S. Department of Commerce, Washington, D.C.), Federal Information Processing Standards Publication (FIPS) 199.",False,CP-04
CP,CP-04(01),COORDINATE WITH RELATED PLANS,"Coordinate contingency plan testing with organizational elements responsible for related plans.
","Plans related to contingency planning for organizational systems include Business Continuity Plans, Disaster Recovery Plans, Continuity of Operations Plans, Crisis Communications Plans, Critical Infrastructure Plans, Cyber Incident Response Plans, and Occupant Emergency Plans. Coordination of contingency plan testing does not require organizations to create organizational elements to handle related plans or to align such elements with specific plans. However, it does require that if such organizational elements are responsible for related plans, organizations coordinate with those elements.","IR-08, PM-08",,,x,x,,True,CP-04
CP,CP-04(02),ALTERNATE PROCESSING SITE,"Test the contingency plan at the alternate processing site:
a.  To familiarize contingency personnel with the facility and available resources; and
b.  To evaluate the capabilities of the alternate processing site to support contingency operations.
",Conditions at the alternate processing site may be significantly different than the conditions at the primary site. Having the opportunity to visit the alternate site and experience the actual capabilities available at the site can provide valuable information on potential vulnerabilities that could affect essential organizational mission and business functions. The on-site visit can also provide an opportunity to refine the contingency plan to address the vulnerabilities discovered during testing.,CP-07,,,,x,,True,CP-04
CP,CP-04(03),AUTOMATED TESTING,"Test the contingency plan using [Assignment: organization-defined automated mechanisms].
","Automated mechanisms facilitate thorough and effective testing of contingency plans by providing more complete coverage of contingency issues, selecting more realistic test scenarios and environments, and effectively stressing the system and supported mission and business functions.",,,,,,,True,CP-04
CP,CP-04(04),FULL RECOVERY AND RECONSTITUTION,"Include a full recovery and reconstitution of the system to a known state as part of contingency plan testing.
","Recovery is executing contingency plan activities to restore organizational mission and business functions. Reconstitution takes place following recovery and includes activities for returning systems to fully operational states. Organizations establish a known state for systems that includes system state information for hardware, software programs, and data. Preserving system state information facilitates system restart and return to the operational mode of organizations with less disruption of mission and business processes.","CP-10, SC-24",,,,,,True,CP-04
CP,CP-04(05),SELF-CHALLENGE,"Employ [Assignment: organization-defined mechanisms] to [Assignment: organization-defined system or system component] to disrupt and adversely affect the system or system component.
","Often, the best method of assessing system resilience is to disrupt the system in some manner. The mechanisms used by the organization could disrupt system functions or system services in many ways, including terminating or disabling critical system components, changing the configuration of system components, degrading critical functionality (e.g., restricting network bandwidth), or altering privileges. Automated, on-going, and simulated cyber-attacks and service disruptions can reveal unexpected functional dependencies and help the organization determine its ability to ensure resilience in the face of an actual cyber-attack.",,,,,,,True,CP-04
CP,CP-05,CONTINGENCY PLAN UPDATE,[Incorporated into CP-2],,,,,,,,False,CP-05
CP,CP-06,ALTERNATE STORAGE SITE,"a.  Establish an alternate storage site, including necessary agreements to permit the storage and retrieval of system backup information; and
b.  Ensure that the alternate storage site provides controls equivalent to that of the primary site.
","Alternate storage sites are geographically distinct from primary storage sites and maintain duplicate copies of information and data if the primary storage site is not available. Similarly, alternate processing sites provide processing capability if the primary processing site is not available. Geographically distributed architectures that support contingency requirements may be considered alternate storage sites. Items covered by alternate storage site agreements include environmental conditions at the alternate sites, access rules for systems and facilities, physical and environmental protection requirements, and coordination of delivery and retrieval of backup media. Alternate storage sites reflect the requirements in contingency plans so that organizations can maintain essential mission and business functions despite compromise, failure, or disruption in organizational systems.","CP-02, CP-07, CP-08, CP-09, CP-10, MP-04, MP-05, PE-03, SC-36, SI-13",,,x,x,"SP 800-34: Swanson MA, Bowen P, Phillips AW, Gallup D, Lynes D (2010) Contingency Planning Guide for Federal Information Systems. (National Institute of Standards and Technology, Gaithersburg, MD), NIST Special Publication (SP) 800-34, Rev. 1, Includes updates as of November 11, 2010.",False,CP-06
CP,CP-06(01),SEPARATION FROM PRIMARY SITE,"Identify an alternate storage site that is sufficiently separated from the primary storage site to reduce susceptibility to the same threats.
","Threats that affect alternate storage sites are defined in organizational risk assessments and include natural disasters, structural failures, hostile attacks, and errors of omission or commission. Organizations determine what is considered a sufficient degree of separation between primary and alternate storage sites based on the types of threats that are of concern. For threats such as hostile attacks, the degree of separation between sites is less relevant.",RA-03,,,x,x,,True,CP-06
CP,CP-06(02),RECOVERY TIME AND RECOVERY POINT OBJECTIVES,"Configure the alternate storage site to facilitate recovery operations in accordance with recovery time and recovery point objectives.
",Organizations establish recovery time and recovery point objectives as part of contingency planning. Configuration of the alternate storage site includes physical facilities and the systems supporting recovery operations that ensure accessibility and correct execution.,,,,,x,,True,CP-06
CP,CP-06(03),ACCESSIBILITY,"Identify potential accessibility problems to the alternate storage site in the event of an area-wide disruption or disaster and outline explicit mitigation actions.
",Area-wide disruptions refer to those types of disruptions that are broad in geographic scope with such determinations made by organizations based on organizational assessments of risk. Explicit mitigation actions include duplicating backup information at other alternate storage sites if access problems occur at originally designated alternate sites or planning for physical access to retrieve backup information if electronic accessibility to the alternate site is disrupted.,RA-03,,,x,x,,True,CP-06
CP,CP-07,ALTERNATE PROCESSING SITE,"a.  Establish an alternate processing site, including necessary agreements to permit the transfer and resumption of [Assignment: organization-defined system operations] for essential mission and business functions within [Assignment: organization-defined time period consistent with recovery time and recovery point objectives] when the primary processing capabilities are unavailable;
b.  Make available at the alternate processing site, the equipment and supplies required to transfer and resume operations or put contracts in place to support delivery to the site within the organization-defined time period for transfer and resumption; and
c.  Provide controls at the alternate processing site that are equivalent to those at the primary site.
","Alternate processing sites are geographically distinct from primary processing sites and provide processing capability if the primary processing site is not available. The alternate processing capability may be addressed using a physical processing site or other alternatives, such as failover to a cloud-based service provider or other internally or externally provided processing service. Geographically distributed architectures that support contingency requirements may also be considered alternate processing sites. Controls that are covered by alternate processing site agreements include the environmental conditions at alternate sites, access rules, physical and environmental protection requirements, and the coordination for the transfer and assignment of personnel. Requirements are allocated to alternate processing sites that reflect the requirements in contingency plans to maintain essential mission and business functions despite disruption, compromise, or failure in organizational systems.","CP-02, CP-06, CP-08, CP-09, CP-10, MA-06, PE-03, PE-11, PE-12, PE-17, SC-36, SI-13",,,x,x,"SP 800-34: Swanson MA, Bowen P, Phillips AW, Gallup D, Lynes D (2010) Contingency Planning Guide for Federal Information Systems. (National Institute of Standards and Technology, Gaithersburg, MD), NIST Special Publication (SP) 800-34, Rev. 1, Includes updates as of November 11, 2010.",False,CP-07
CP,CP-07(01),SEPARATION FROM PRIMARY SITE,"Identify an alternate processing site that is sufficiently separated from the primary processing site to reduce susceptibility to the same threats.
","Threats that affect alternate processing sites are defined in organizational assessments of risk and include natural disasters, structural failures, hostile attacks, and errors of omission or commission. Organizations determine what is considered a sufficient degree of separation between primary and alternate processing sites based on the types of threats that are of concern. For threats such as hostile attacks, the degree of separation between sites is less relevant.",RA-03,,,x,x,,True,CP-07
CP,CP-07(02),ACCESSIBILITY,"Identify potential accessibility problems to alternate processing sites in the event of an area-wide disruption or disaster and outlines explicit mitigation actions.
",Area-wide disruptions refer to those types of disruptions that are broad in geographic scope with such determinations made by organizations based on organizational assessments of risk.,RA-03,,,x,x,,True,CP-07
CP,CP-07(03),PRIORITY OF SERVICE,"Develop alternate processing site agreements that contain priority-of-service provisions in accordance with availability requirements (including recovery time objectives).
",Priority of service agreements refer to negotiated agreements with service providers that ensure that organizations receive priority treatment consistent with their availability requirements and the availability of information resources for logical alternate processing and/or at the physical alternate processing site. Organizations establish recovery time objectives as part of contingency planning.,,,,x,x,,True,CP-07
CP,CP-07(04),PREPARATION FOR USE,"Prepare the alternate processing site so that the site can serve as the operational site supporting essential mission and business functions.
",Site preparation includes establishing configuration settings for systems at the alternate processing site consistent with the requirements for such settings at the primary site and ensuring that essential supplies and logistical considerations are in place.,"CM-02, CM-06, CP-04",,,,x,,True,CP-07
CP,CP-07(05),EQUIVALENT INFORMATION SECURITY SAFEGUARDS,[Incorporated into CP-7],,,,,,,,True,CP-07
CP,CP-07(06),INABILITY TO RETURN TO PRIMARY SITE,"Plan and prepare for circumstances that preclude returning to the primary processing site.
","There may be situations that preclude an organization from returning to the primary processing site such as if a natural disaster (e.g., flood or a hurricane) damaged or destroyed a facility and it was determined that rebuilding in the same location was not prudent.",,,,,,,True,CP-07
